state,n_utilities,weighted_mean,min,p10,q1,median,q3,p90,max
AK,6,18.7723,10.3775,10.7225,11.4033,13.3249,16.0793,19.2966,21.9005
AL,41,7.2361,4.6135,6.0402,6.8067,7.9634,9.8755,11.0493,12.8850
AR,27,6.5611,5.0808,6.1936,6.8972,7.6671,9.5208,12.9829,21.6794
AZ,16,7.8874,1.9341,4.8951,7.2810,9.4826,10.6494,12.8856,15.6906
CA,30,20.7031,2.9007,11.8938,13.6151,16.1817,20.6428,23.6819,33.1499
CO,30,8.5944,2.6000,7.3045,8.0903,9.1657,10.6109,13.3347,19.5926
CT,6,13.8034,9.6076,10.3090,11.6428,15.5484,18.1607,19.8833,21.4047
DE,7,11.2350,7.9926,8.5073,9.1006,11.8309,12.5063,15.2492,18.6061
FL,24,8.4857,5.4233,6.8946,7.5922,8.6174,10.3267,13.2721,22.8997
GA,48,7.1401,2.7059,5.3764,7.0952,8.0256,10.0283,13.4265,20.2090
HI,4,34.1346,32.8224,34.1036,36.0254,37.8308,38.8585,39.3803,39.7281
IA,22,6.7153,6.0486,6.5223,7.1045,8.0719,8.6853,10.4858,15.3061
ID,11,7.7181,4.9515,5.2544,5.5181,5.7921,7.8793,8.2919,23.3333
IL,22,8.0598,4.7548,7.3617,9.0380,10.4352,11.4363,14.9747,19.6579
IN,43,8.0783,4.5506,7.5861,8.5478,9.0320,10.7260,11.3225,17.5439
KS,22,7.5926,0.2558,5.7365,7.0061,8.0909,9.6691,10.6886,17.7546
KY,44,6.4763,3.9421,5.5836,6.6678,7.8414,8.8747,9.7835,12.2557
LA,19,5.6012,4.5873,5.1649,7.4482,9.2859,11.2041,15.7672,19.4493
MA,18,16.0217,11.5940,12.9687,13.7694,15.0228,17.3371,24.3240,30.4000
MD,7,12.1054,6.8110,9.3702,12.0217,14.8745,17.5071,20.7619,22.6966
ME,6,16.9750,10.3100,11.3324,12.5760,14.1988,19.0631,21.3743,22.3839
MI,22,8.4904,6.0069,7.3974,8.0895,9.0675,11.6396,12.5509,13.4589
MN,41,9.0837,5.3962,7.7923,8.2469,9.3601,10.7611,12.8711,27.1429
MO,38,7.7278,6.2783,6.8760,7.1976,8.0910,9.6543,10.3345,16.3839
MS,37,6.7632,4.3850,5.9223,6.9165,7.8488,9.3248,10.2502,21.1697
MT,13,8.5526,0.5654,6.0750,6.8865,8.6722,10.7651,14.1223,24.8000
NC,44,7.7430,4.7312,6.0615,7.3469,8.1601,8.9758,10.0409,14.1120
ND,19,7.2285,1.1331,6.1217,7.4230,7.7774,8.4882,10.7910,12.7555
NE,26,7.2000,0.7515,6.2166,7.0538,8.7882,12.3216,13.5853,17.7385
NH,4,18.8596,16.9243,17.1485,17.4848,18.5022,19.3868,19.4839,19.5487
NJ,5,9.9279,8.3718,9.9803,12.3931,13.5241,13.7708,13.8217,13.8557
NM,19,5.3779,2.6086,5.3946,6.5930,7.8399,10.8965,12.6564,23.8454
NV,9,9.5962,5.1404,5.1810,6.9606,10.0919,11.2422,17.5394,36.2500
NY,12,9.2913,3.3821,4.9689,5.1733,8.2803,13.0334,15.7960,30.9543
OH,36,10.1676,3.9411,7.3938,8.8023,10.4698,12.0446,13.5834,16.2585
OK,31,5.7949,4.9018,5.5692,6.1259,6.8651,9.1394,10.1251,13.3467
OR,23,7.9485,3.9839,5.4996,6.0029,7.9026,9.0469,9.4635,11.9228
PA,18,9.4115,7.5555,8.7389,9.1276,10.2010,11.4597,12.6582,15.3320
RI,2,24.4709,16.4829,17.4267,18.8424,21.2019,23.5614,24.9771,25.9209
SC,26,6.8155,5.0817,6.9156,7.1860,8.3731,9.8484,10.6961,11.1652
SD,19,8.2558,1.8547,6.8312,7.8436,8.4483,9.4020,10.6150,18.5592
TN,84,6.2105,4.8967,5.6911,6.1450,6.8686,8.2087,9.3170,24.4444
TX,94,6.2655,1.9342,4.9049,6.0724,7.5924,9.0149,11.3244,31.7391
UT,17,7.8194,3.0598,5.1335,6.2507,6.9494,8.9543,11.4733,28.0000
VA,18,9.1708,6.6195,7.1788,7.5365,8.9335,9.8638,11.8265,12.9122
VT,3,11.1692,10.8362,11.2490,11.8681,12.8999,13.3099,13.5558,13.7198
WA,33,6.5127,1.3278,4.1197,5.8018,6.5088,7.7233,8.2838,12.4714
WI,51,8.5019,5.5379,7.5327,8.1688,8.5825,9.4455,11.4113,28.6013
WV,4,7.8093,7.1543,7.2399,7.3683,7.5725,7.9698,8.4457,8.7629
WY,9,7.7788,0.3061,4.2910,7.1831,8.1701,9.1066,10.2813,10.4948
