source_family,reference_power_mwt,cooldown_months,energy_group,energy_low_mev,energy_high_mev,energy_mid_mev,gamma_energy_fraction,lead_mass_attenuation_cm2_g
HTPM,10,0,1,15.0,20.0,17.5,2.9753813229279766e-19,0.05932
HTPM,10,0,2,10.0,15.0,12.5,5.227677928900457e-11,0.05315
HTPM,10,0,3,8.0,10.0,9.0,1.1340114982476289e-06,0.048235
HTPM,10,0,4,6.0,8.0,7.0,0.001529625648731815,0.045329999999999995
HTPM,10,0,5,5.0,6.0,5.5,0.010134031823944362,0.043315
HTPM,10,0,6,4.0,5.0,4.5,0.022929330920076,0.042345
HTPM,10,0,7,3.0,4.0,3.5,0.05499491651348536,0.042155
HTPM,10,0,8,2.0,3.0,2.5,0.14132535280866163,0.0442
HTPM,10,0,9,1.5,2.0,1.75,0.11930981462048453,0.04914
HTPM,10,0,10,1.25,1.5,1.375,0.09964082221927904,0.05549
HTPM,10,0,11,1.0,1.25,1.125,0.0945002979324383,0.06489
HTPM,10,0,12,0.8,1.0,0.9,0.1195240893323768,0.07986
HTPM,10,0,13,0.6,0.8,0.7,0.11985949880333392,0.10675
HTPM,10,0,14,0.5,0.6,0.55,0.05238321237309569,0.1431
HTPM,10,0,15,0.4,0.5,0.45,0.039238946572797646,0.19685
HTPM,10,0,16,0.3,0.4,0.35,0.03500415990851393,0.3177
HTPM,10,0,17,0.2,0.3,0.25,0.033775557657417486,0.7008000000000001
HTPM,10,0,18,0.15,0.2,0.175,0.012529348436876666,1.5062499999999999
HTPM,10,0,19,0.1,0.15,0.125,0.017508198315997522,3.7815000000000003
HTPM,10,0,20,0.088,0.1,0.094,0.0034209653222060407,6.616
HTPM,10,0,21,0.08,0.088,0.08399999999999999,0.0020962933473652155,2.1645
HTPM,10,0,22,0.06,0.08,0.07,0.006319642636723274,3.7199999999999998
HTPM,10,0,23,0.05,0.06,0.055,0.001497299570586027,6.531000000000001
HTPM,10,0,24,0.04,0.05,0.045,0.0023281114711662513,11.2005
HTPM,10,0,25,0.03,0.04,0.035,0.002944446181695869,22.34
HTPM,10,0,26,0.02,0.03,0.025,0.002561568787709865,58.34
HTPM,10,0,27,0.0159,0.02,0.01795,0.001636307428821737,120.58000000000001
HTPM,10,0,28,0.0155,0.0159,0.0157,0.0001005695631213009,138.0
HTPM,10,0,29,0.0152,0.0155,0.015349999999999999,6.067974610688272e-05,145.05
HTPM,10,0,30,0.015,0.0152,0.015099999999999999,3.995915257854571e-05,109.69999999999999
HTPM,10,0,31,0.013,0.015,0.013999999999999999,0.0007990879748704853,136.85
HTPM,10,0,32,0.01,0.013,0.0115,0.0006616378779441157,98.805
HTPM,10,0,33,0.008,0.01,0.009000000000000001,0.00047221427879631296,179.64999999999998
HTPM,10,0,34,0.006,0.008,0.007,0.0005120813478298137,347.95
HTPM,10,0,35,0.005,0.006,0.0055,0.0002979976696782034,598.8
HTPM,10,0,36,0.004,0.005,0.0045000000000000005,2.3958536202217633e-05,990.7
HTPM,10,0,37,0.00385,0.004,0.003925,3.2826362059706134e-06,1309.5
HTPM,10,0,38,0.0037,0.00385,0.003775,7.60632970906316e-07,1339.5
HTPM,10,0,39,0.00355,0.0037,0.003625,4.70489693091313e-07,1513.5
HTPM,10,0,40,0.0033,0.00355,0.003425,2.6821691805046882e-05,1540.5
HTPM,10,0,41,0.00307,0.0033,0.003185,9.741808742442136e-08,1971.0
HTPM,10,0,42,0.003,0.00307,0.003035,1.6652990438359127e-09,1911.0
HTPM,10,0,43,0.00259,0.003,0.0027949999999999997,1.400741786446115e-06,2211.5
HTPM,10,0,44,0.00253,0.00259,0.0025599999999999998,9.947699097900314e-07,1835.0
HTPM,10,0,45,0.00248,0.00253,0.0025050000000000003,2.060278029140846e-09,1561.5
HTPM,10,0,46,0.002,0.00248,0.00224,4.510269643096488e-06,1042.8
HTPM,10,0,47,0.0015,0.002,0.00175,4.838391661033698e-07,1820.5
HTPM,10,0,48,0.001,0.0015,0.00125,1.4940467149556164e-08,3783.0
HTPM,10,1,1,15.0,20.0,17.5,2.5979135908598304e-33,0.05932
HTPM,10,1,2,10.0,15.0,12.5,7.403885482328663e-13,0.05315
HTPM,10,1,3,8.0,10.0,9.0,7.289311555317734e-12,0.048235
HTPM,10,1,4,6.0,8.0,7.0,5.0251657624429366e-11,0.045329999999999995
HTPM,10,1,5,5.0,6.0,5.5,8.805276759794876e-11,0.043315
HTPM,10,1,6,4.0,5.0,4.5,2.147324892591366e-10,0.042345
HTPM,10,1,7,3.0,4.0,3.5,0.00010805010606032988,0.042155
HTPM,10,1,8,2.0,3.0,2.5,0.01738220169474656,0.0442
HTPM,10,1,9,1.5,2.0,1.75,0.154679324357814,0.04914
HTPM,10,1,10,1.25,1.5,1.375,0.004683437672671261,0.05549
HTPM,10,1,11,1.0,1.25,1.125,0.009956696783588265,0.06489
HTPM,10,1,12,0.8,1.0,0.9,0.040648072147867684,0.07986
HTPM,10,1,13,0.6,0.8,0.7,0.5565618918353701,0.10675
HTPM,10,1,14,0.5,0.6,0.55,0.030541649512401563,0.1431
HTPM,10,1,15,0.4,0.5,0.45,0.0918784114643203,0.19685
HTPM,10,1,16,0.3,0.4,0.35,0.021231364605033172,0.3177
HTPM,10,1,17,0.2,0.3,0.25,0.01013743159028954,0.7008000000000001
