energy_group,energy_mid_mev,lead_cm2_g,carbon_steel_cm2_g,tungsten_heavy_alloy_cm2_g,ordinary_concrete_cm2_g
1,17.500000,0.05932,0.0316204,0.0553499,0.0206037
2,12.500000,0.05315,0.0304754,0.0499301,0.0217597
3,9.000000,0.048235,0.0299258,0.0454037,0.0234946
4,7.000000,0.04533,0.0302146,0.0428781,0.025516
5,5.500000,0.043315,0.0309916,0.0411081,0.0279572
6,4.500000,0.042345,0.0322332,0.0403457,0.0305001
7,3.500000,0.042155,0.03452,0.0402948,0.0343324
8,2.500000,0.0442,0.0389758,0.0421985,0.0406397
9,1.750000,0.04914,0.0454147,0.0468483,0.0488281
10,1.375000,0.05549,0.0510056,0.0526398,0.0552963
11,1.125000,0.06489,0.0564541,0.060317,0.0612226
12,0.900000,0.07986,0.0631768,0.0722487,0.068309
13,0.700000,0.10675,0.0714805,0.0918822,0.0767897
14,0.550000,0.1431,0.0803504,0.120085,0.0855334
15,0.450000,0.19685,0.0886596,0.157838,0.093148
16,0.350000,0.3177,0.101072,0.23801,0.103171
17,0.250000,0.7008,0.124872,0.464445,0.117663
18,0.175000,1.50625,0.167545,1.04067,0.135131
19,0.125000,3.7815,0.26165,2.40352,0.156469
20,0.094000,6.616,0.423536,4.95565,0.18105
21,0.084000,2.1645,0.536977,6.58797,0.195013
22,0.070000,3.72,0.825747,10.5304,0.229161
23,0.055000,6.531,1.51915,4.50694,0.29956
24,0.045000,11.2005,2.62024,7.60208,0.410899
25,0.035000,22.34,5.29081,14.7129,0.68104
26,0.025000,58.34,13.6787,35.6172,1.55509
27,0.017950,120.58,34.6732,84.7602,3.81455
28,0.015700,138,50.2906,120.136,5.57953
29,0.015350,145.05,53.5392,127.402,5.94839
30,0.015100,109.7,56.0366,132.968,6.2323
31,0.014000,136.85,68.769,160.918,7.7492
32,0.011500,98.805,116.971,168.852,13.6659
33,0.009000,179.65,224.657,133.094,27.664
34,0.007000,347.95,55.5598,229.918,54.2584
35,0.005500,598.8,107.676,421.078,107.233
36,0.004500,990.7,186.26,691.832,187.139
37,0.003925,1309.5,270.142,966.758,230.55
38,0.003775,1339.5,300.071,1061.31,256.764
39,0.003625,1513.5,334.739,1169.53,287.211
40,0.003425,1540.5,390.093,1339.79,323.216
41,0.003185,1971,474.51,1594.4,394.37
42,0.003035,1911,540.43,1789.68,450.073
43,0.002795,2211.5,672.141,2080.04,560.985
44,0.002560,1835,847.494,2406.06,708.826
45,0.002505,1561.5,897.498,2536.7,751.038
46,0.002240,1042.8,1205.61,2881.99,1011.57
47,0.001750,1820.5,2289.6,1263.63,861.309
48,0.001250,3783,5288.64,2552.74,1989.11
